"Categoria_da_Aeronave,Nome da categoria"
"ADD,ADMINISTRAÇÃO DIRETA DO DISTRITO FEDERAL"
"ADE,ADMINISTRAÇÃO DIRETA ESTADUAL"
"ADF,ADMINISTRAÇÃO DIRETA FEDERAL"
"ADM,ADMINISTRAÇÃO DIRETA MUNICIPAL"
"AID,ADMINISTRAÇÃO INDIRETA DO DISTRITO FEDERAL"
"AIE,ADMINISTRAÇÃO INDIRETA ESTADUAL"
"AIF,ADMINISTRAÇÃO INDIRETA FEDERAL"
"AIM,ADMINISTRAÇÃO INDIRETA MUNICIPAL"
"D01,DUPLA CATEGORIA-TPX/SAE-AA"
"D02,DUPLA CATEGORIA-TPX/SAE-AC"
"D03,DUPLA CATEGORIA-TPX/SAE-AD"
"D04,DUPLA CATEGORIA-TPX/SAE-AF"
"D05,DUPLA CATEGORIA-TPX/SAE-AG"
"D06,DUPLA CATEGORIA-TPX/SAE-ΑΙ"
"D07,DUPLA CATEGORIA-TPX/SAE-AL"
"D08,DUPLA CATEGORIA-TPX/SAE-AN"
"D09,DUPLA CATEGORIA-TPX/SAE-AP"
"D10,DUPLA CATEGORIA-TPX/SAE-AR"
"M03,MÚLTIPLA CATEGORIA TPX/SAE-AA/C/F/I/N/R"
"M04,MÚLTIPLA CATEGORIA TPX/SAE-AA/C/F/P/  R"
"M05,MÚLTIPLA CATEGORIA ΤPX/SAE-AF/N"
"M09,MÚLTIPLA CATEGORIA TPX/SAE-AA/C/F/N/P/R"
"M10,MÚLTIPLA CATEGORIA TPX/SAE-AA/F/P/R"
"M11,MÚLTIPLA CATEGORIA TPX/SAE-AA/C"
"M12,MÚLTIPLA CATEGORIA TPX/SAE-AA/C/F/R"
"M13,MÚLTIPLA CATEGORIA TPX/SAE-AC/F/P/R"
"M14,MÚLTIPLA CATEGORIA TPX/SAE-AC/F/N/P/R"
"M15,MÚLTIPLA CATEGORIA"
"M16,MÚLTIPLA CATEGORIA TPX/SAE-AC/F/I/N/R"
"M17,MÚLTIPLA CATEGORIA TPX/SAE-AC/F/R"
"M18,MÚLTIPLA CATEGORIA TPX/SAE-AL/N"
"M20,MÚLTIPLA CATEGORIA TPX/SAE-AFR"
"M21,MÚLTIPLA CATEGORIA TPX/SAE-AC/F/I/N/P/R"
"M23,MÚLTIPLA CATEGORIA TPX/SAE-AP/R"
"M24,MÚLTIPLA CATEGORIA TPX/SAE-AC/D/F/I/L/N/P/R"
"M25,MÚLTIPLA CATEGORIA TPX/SAE-AA/C/D/F/I/L/N/P/R"
"M26,MÚLTIPLA CATEGORIA ΤPX/SAE-AA/F/I/P/R"
"M27,MÚLTIPLA CATEGORIA TPX/SAE-AA/C/F/N/R"
"M28,MÚLTIPLA CATEGORIA ΤPX/SAE-AL/P"
"PIN,PÚBLICA INSTRUÇÃO"
"PRH,PRIVADA HISTÓRICA"
"PRI,PRIVADA INSTRUÇÃO"
"PUH,PÚBLICA HISTÓRICA"
"S00,MÚLTIPLA CATEGORIA SAE"
"SAE,SERVIÇO AÉREO ESPECIALIZADO PÚBLICO"
"SAE-AA,APOIO AÉREO"
"SAE-AC,AEROCINEMATOGRAFIA"
"SAE-AD,AERODEMONSTRAÇÃO"
"SAE-AF,AEROFOTOGRAFIA"
"SAE-AG,AEROAGRICOLA"
"SAE-AI,COMBATE A INCENDIOS"
"SAE-AL,AEROLEVANTAMENTO"
"SAE-AN,AEROINSPEÇÃO"
"SAE-AP,AEROPUBLICIDADE"
"SAE-AR,AEROREPORTAGEM"
"ΤΡΝ,TRANSPORTE AÉREO PÚBLICO NÃO REGULAR"
"TPP,SERVIÇO AÉREO PRIVADO"
"TPR,TRANSPORTE AÉREO PÚBLICO REGULAR"
"TPX,TRANSPORTE PÚBLICO NÃO REGULAR"
"ALE,Aeronave Leve Esportiva"
"AMD,Experimental - Construção Amadora"
"D13,Demonstração de Aeronave para Venda ou Exportação"
"D15,Exibição Estática ou Passagens Históricas Comerciais Limitadas"
"D17,Preservação Histórica com Certificado de Autorização de Voo Especial"
"D18,Voo de Translado Internacional para Desmonte ou Descarte"
"D19,Operação de Demonstração Governamental ou Militar Estrangeira"
"D20,Voo Técnico Especial de Aceitação de Frota"
"EX2,Experimental - Pesquisa e Desenvolvimento / Ensaios em Voo"
"M35,Operação de Traslado para Manutenção de Grande Porte"
"M37,Voo de Ensaio ou Demonstração de Fabricante"
"M42,Voo Técnico de Homologação de Suplemento de Tipo"
"M43,Operação sob Certificado Especial de Voo para Indústria"
"M46,Aeronave em Processo de Certificação de Tipo / Protótipo"
"M48,Voo de Verificação Pós-Manutenção de Linha"
"M56,Operação de Desenvolvimento Tecnológico e Modificação Estrutural"
"M60,Operação Temporária para Treinamento de Manutenção"
"P50,Privada de Fins Específicos / Preservação Patrimonial"
"PET,Privada Experimental (Geral / Construção Amadora)"
"PEX,Privada Exibição"
"S05,Serviço Aéreo Especializado - Aeroagrícola"
"S05S,Serviço Aéreo Especializado - Aeroagrícola (Operações subsidiárias/especificidades técnicas)"
"S07,Serviço Aéreo Especializado - Aerolevantamento"
"S09,Serviço Aéreo Especializado - Aerofotografia / Aerofilmagem"
"S11,Serviço Aéreo Especializado - Publicidade Aérea / Reportagem"
"S22,Serviço Aéreo Especializado - Combate a Incêndios / Proteção Florestal"
"S59,Serviço Aéreo Especializado - Operações de Carga Externa / Guindaste Aéreo"
"S82,Serviço Aéreo Especializado - Outros Serviços Não Especificados"
"T11,Instrução / Treinamento de Voo"
"TPN,Transporte Público Não Regular"
