Territorialidades,IDHM 2012,Faixa_de_IDHM,IDHM 2013,Faixa_de_IDHM,IDHM 2014,Faixa_de_IDHM,IDHM 2015,Faixa_de_IDHM,IDHM 2016,Faixa_de_IDHM,IDHM 2017,Faixa_de_IDHM,IDHM 2018,Faixa_de_IDHM,IDHM 2019,Faixa_de_IDHM,IDHM 2020,Faixa_de_IDHM,IDHM 2021,Faixa_de_IDHM,IDHM 2022,Faixa_de_IDHM,IDHM 2023,Faixa_de_IDHM,IDHM 2024
BR,0.744,Alto,0.752,Alto,0.76,Alto,0.762,Alto,0.767,Alto,0.77,Alto,0.777,Alto,0.782,Alto,0.776,Alto,0.757,Alto,0.788,Alto,0.798,Alto,0.805
AC,0.705,Alto,0.709,Alto,0.719,Alto,0.719,Alto,0.723,Alto,0.711,Alto,0.731,Alto,0.738,Alto,0.736,Alto,0.702,Alto,0.732,Alto,0.74,Alto,0.754
AL,0.657,Médio,0.653,Médio,0.67,Médio,0.669,Médio,0.68,Médio,0.682,Médio,0.694,Médio,0.693,Médio,0.694,Médio,0.691,Médio,0.722,Alto,0.739,Alto,0.746
AP,0.709,Alto,0.735,Alto,0.726,Alto,0.728,Alto,0.732,Alto,0.731,Alto,0.737,Alto,0.732,Alto,0.707,Alto,0.681,Médio,0.743,Alto,0.767,Alto,0.759
AM,0.706,Alto,0.717,Alto,0.72,Alto,0.724,Alto,0.723,Alto,0.743,Alto,0.732,Alto,0.739,Alto,0.725,Alto,0.7,Alto,0.757,Alto,0.764,Alto,0.767
BA,0.684,Médio,0.686,Médio,0.7,Alto,0.708,Alto,0.708,Alto,0.715,Alto,0.714,Alto,0.723,Alto,0.726,Alto,0.698,Médio,0.734,Alto,0.74,Alto,0.759
CE,0.709,Alto,0.712,Alto,0.717,Alto,0.723,Alto,0.727,Alto,0.737,Alto,0.746,Alto,0.754,Alto,0.753,Alto,0.74,Alto,0.759,Alto,0.773,Alto,0.773
DF,0.824,Muito Alto,0.834,Muito Alto,0.834,Muito Alto,0.833,Muito Alto,0.842,Muito Alto,0.842,Muito Alto,0.845,Muito Alto,0.86,Muito Alto,0.837,Muito Alto,0.823,Muito Alto,0.867,Muito Alto,0.87,Muito Alto,0.866
ES,0.747,Alto,0.755,Alto,0.763,Alto,0.766,Alto,0.766,Alto,0.769,Alto,0.776,Alto,0.78,Alto,0.773,Alto,0.754,Alto,0.782,Alto,0.803,Muito Alto,0.804
GO,0.744,Alto,0.753,Alto,0.759,Alto,0.758,Alto,0.765,Alto,0.77,Alto,0.776,Alto,0.78,Alto,0.777,Alto,0.755,Alto,0.797,Alto,0.809,Muito Alto,0.815
MA,0.669,Médio,0.682,Médio,0.683,Médio,0.69,Médio,0.698,Médio,0.704,Alto,0.706,Alto,0.715,Alto,0.715,Alto,0.701,Alto,0.73,Alto,0.74,Alto,0.745
MS,0.732,Alto,0.741,Alto,0.743,Alto,0.737,Alto,0.755,Alto,0.758,Alto,0.767,Alto,0.774,Alto,0.771,Alto,0.748,Alto,0.781,Alto,0.79,Alto,0.797
MT,0.743,Alto,0.757,Alto,0.761,Alto,0.767,Alto,0.766,Alto,0.769,Alto,0.78,Alto,0.782,Alto,0.767,Alto,0.745,Alto,0.794,Alto,0.795,Alto,0.812
MG,0.743,Alto,0.751,Alto,0.764,Alto,0.767,Alto,0.77,Alto,0.777,Alto,0.778,Alto,0.787,Alto,0.782,Alto,0.763,Alto,0.793,Alto,0.803,Muito Alto,0.809
PB,0.679,Médio,0.675,Médio,0.697,Médio,0.71,Alto,0.712,Alto,0.725,Alto,0.719,Alto,0.721,Alto,0.716,Alto,0.703,Alto,0.737,Alto,0.757,Alto,0.76
PR,0.763,Alto,0.773,Alto,0.779,Alto,0.776,Alto,0.786,Alto,0.787,Alto,0.797,Alto,0.799,Alto,0.793,Alto,0.767,Alto,0.8,Muito Alto,0.812,Muito Alto,0.822
PA,0.677,Médio,0.684,Médio,0.696,Médio,0.701,Alto,0.697,Médio,0.705,Alto,0.719,Alto,0.717,Alto,0.723,Alto,0.706,Alto,0.734,Alto,0.753,Alto,0.758
PE,0.692,Médio,0.708,Alto,0.72,Alto,0.722,Alto,0.72,Alto,0.72,Alto,0.734,Alto,0.74,Alto,0.73,Alto,0.716,Alto,0.745,Alto,0.754,Alto,0.767
PI,0.68,Médio,0.7,Alto,0.705,Alto,0.711,Alto,0.707,Alto,0.715,Alto,0.719,Alto,0.727,Alto,0.724,Alto,0.716,Alto,0.743,Alto,0.761,Alto,0.764
RJ,0.755,Alto,0.761,Alto,0.771,Alto,0.774,Alto,0.776,Alto,0.778,Alto,0.792,Alto,0.795,Alto,0.781,Alto,0.763,Alto,0.804,Muito Alto,0.813,Muito Alto,0.819
