UF,Unidade_Territorial,IDHM,IDHM_longevidade,IDHM_educacao,IDHM_renda
AC,Acre,0.754,0.848,0.740,0.684
AL,Alagoas,0.746,0.823,0.729,0.691
AP,Amapá,0.759,0.822,0.745,0.713
AM,Amazonas,0.767,0.841,0.788,0.680
BA,Bahia,0.759,0.847,0.743,0.694
CE,Ceará,0.773,0.871,0.783,0.677
DF,Distrito Federal,0.866,0.913,0.851,0.837
ES,Espírito Santo,0.804,0.870,0.784,0.763
GO,Goiás,0.815,0.863,0.821,0.763
MA,Maranhão,0.745,0.844,0.746,0.658
MT,Mato Grosso,0.812,0.845,0.816,0.776
MS,Mato Grosso do Sul,0.797,0.840,0.786,0.766
MG,Minas Gerais,0.809,0.875,0.803,0.754
PA,Pará,0.758,0.854,0.736,0.692
PB,Paraíba,0.760,0.864,0.730,0.696
PR,Paraná,0.822,0.864,0.815,0.790
PE,Pernambuco,0.767,0.842,0.764,0.702
PI,Piauí,0.764,0.866,0.742,0.695
RJ,Rio de Janeiro,0.819,0.844,0.826,0.789
RN,Rio Grande do Norte,0.778,0.881,0.741,0.720
RS,Rio Grande do Sul,0.818,0.869,0.791,0.796
RO,Rondônia,0.786,0.850,0.778,0.734
RR,Roraima,0.780,0.823,0.810,0.713
SC,Santa Catarina,0.833,0.888,0.817,0.797
SP,São Paulo,0.838,0.867,0.850,0.799
SE,Sergipe,0.761,0.856,0.731,0.705
TO,Tocantins,0.797,0.861,0.801,0.734
