Numero_da_Ocorrencia,Tipo_de_Ocorrencia,Descricao_do_Tipo,Historico
11346,GCOL,Colisão no solo,"APÓS O POUSO FOI OBSERVADO QUE HAVIA SINALIZAÇÃO DE PISTA INTERDITADA FEITA POR *X* DE PLÁSTICOS AFIXADOS AO SOLO, O QUAL NÃO FOI POSSÍVEL TER SIDO AVISTADO DURANTE A APROXIMAÇÃO DEVIDO AO GRANDE ACÚMULO DE ÁGUA NA PISTA, CONFUNDINDO COM O ASFALTO."
4559,LALT,Operações a baixa altitude,"O helicóptero decolou de Tucuruí – PA (SBTU), com destino a Cametá – PA, para um vôo de inspeção em uma linha de transmissão de alta tensão para a Eletronorte, levando o piloto e 3 passageiros. A cerca de 70 km de Cametá, encontrou mau tempo e em seguida o helicóptero colidiu com a rede elétrica, prendendo-se a um fio. Isso fez com que o piloto perdesse o controle da aeronave, que veio a colidir com o solo. O piloto faleceu no local, um dos passageiros sofreu ferimentos graves e os demais feriram-se levemente. A aeronave ficou gravemente danificada."
4617,SCF-PP,"A aeronave, com 178 passageiros e 13 tripulantes, iria efetuar um vôo de Guarulhos - SP (SBGR) com destino a Lima, no Peru. Ao ser aplicada potência nos motores para o início da corrida de decolagem, ocorreu um forte estrondo no motor direito, seguido de incêndio não sinalizado pelos instrumentos. O Comandante, alertado pela Torre de Controle, abortou a decolagem a 540 metros da cabeceira da pista. O fogo, que atingiu apenas o motor, foi apagado pela Seção de Contra-Incêndio de SBGR. Durante a evacuação de emergência, uma passageira sofreu fratura da perna."
4576,RE,Excursão de Pista,"A AERONAVE DECOLOU DO AEROPORTO INTERNACIONAL DE GUARULHOS COM DESTINO À SBPA – PORTO ALEGRE, CUMPRINDO UM VÔO REGULAR DE TRANSPORTE DE PASSAGEIROS. NESSE VÔO, HAVERIA TAMBÉM A AVALIAÇÃO FINAL DO 1º OFICIAL, COM VISTAS À PROMOÇÃO PARA COMANDANTE NA EMPRESA. O VÔO TRANSCORREU NORMALMENTE, SEM NENHUMA ANORMALIDADE VERIFICADA PELA TRIPULAÇÃO, ATÉ O MOMENTO DO POUSO. AS CONDIÇÕES METEOROLÓGICAS DO DESTINO ERAM DE CHUVA, VENTO FORTE COM RAJADAS E INDÍCIOS DE WIND SHEAR (TESOURA DE VENTO) NAS IMEDIAÇÕES DO AERÓDROMO. A AERONAVE REALIZOU O PROCEDIMENTO NDB ECHO 2, COM APROXIMAÇÃO PARA A PISTA 29 DE SBPA. A FINAL PARA POUSO FOI EFETUADA NORMALMENTE, COM A RAMPA LIGEIRAMENTE ABAIXO DO PREVISTO. DURANTE O POUSO, A AERONAVE FLUTUOU SOBRE A PISTA, VINDO A TOCÁ-LA APROXIMADAMENTE 1000 METROS APÓS A CABECEIRA 29. APÓS O TOQUE, PERCORREU AINDA CERCA DE 1400 METROS, ULTRAPASSANDO OS LIMITES DA PISTA E COLIDINDO COM UMA VALA. A AERONAVE SOFREU DANOS GRAVES. TRÊS PASSAGEIROS SOFRERAM LESÕES LEVES E OS DEMAIS FICARAM ILESOS."
4284,LOC-G,Perda de controle no solo,"SEGUNDO DECLARAÇÃO DO PILOTO, APÓS O POUSO NA CABECEIRA 20, NO FINAL DA PISTA, AO FAZER CURVA PARA O RETORNO A BEQUILHA ENTREOU EM UM BURACO E QUEBROU E A AERNAVE PILONOU.OBS.: OCORRÊNCIA COMUNICADA ATRAVÉS OFÍCIO 35/DEPAER/2013, DE 16 OUT 2013"
4283,ARC,Contato anormal com a pista,"O ULTRALEVE DECOLOU DO SÍTIO DE VÔO DO CLUBE DE AERONÁUTICA POR VOLTA DAS 09:35H PARA UMA INSTRUÇÃO NA ÁREA DE TREINAMENTO EM VARGEM GRANDE. QUANDO JÁ ESTAVA TERMINANDO O TREINAMENTO NO LOCAL E INICIANDO O REGRESSO O INSTRUTOR “COBROU” DO ALUNO MAIS UMA SIMULAÇÃO DE FALHA DO MOTOR. QUANDO PRATICAMENTE PRÓXIMO DO POUSO SIMULADO, O INSTRUTOR DEU MOTOR PARA A ARREMETIDA E A AERONAVE ENTROU EM CURVA PARA A ESQUERDA, SEM CONTROLE, BATENDO FORTEMENTE COM A RODA ESQUERDA NO SOLO FAZENDO A AERONAVE CORRER POR CERCA DE 40 A 50 METROS.OBS.: 1 - A OCORRÊNCIA FOI COMUNICADA À TORRE DE CONTROLE DE JACAREPAGUÁ E APÓS FORAM TOMADAS AS PROVIDÊNCIAS PARA RECOLHIMENTO DOS TRIPULANTES E DA AERONAVE."
5204,LALT,Operações a baixa altitude,"DURANTE VÔO DE PULVERIZAÇÃO OCORREU PERDA DE POTÊNCIA, LEVANDO O PILOTO A EFETUAR UM POUSO FORÇADO EM UM PASTO. OCORREU O PILONAMENTO DA AERONAVE. EM ANÁLISE PRELIMINAR VERIFICOU-SE QUE OCORREU RACHADURA DE UM DOS CILINDROS."
5140,LALT,Operações a baixa altitude,"A aeronave iria realizar um voo de translado, quando o piltoo resolveu decolar para alijar o resto produto agricola que ainda se encontrava nos tanques de pulverização. Durante a realização da curva de reposição para passagem, manobra conhecida como balão, a aeronave colidiu contra uma árvore e, em seguida, contra o solo."
5397,SCF-PP,Falha ou mau funcionamento do motor,"APÓS 03:00 HORAS DE VÔO O MOTOR DIREITO FALHOU E HOUVE EMBADEIRAMENTO DA HÉLICE,A ANV NÃO SUSTENTOU O VÔO MONOMOTOR E CAIU NO MAR DE FERNANDO DE NORONHA."
5086,LALT,Operações a baixa altitude,"A aeronave havia decolado da Fazenda Amanda, em Campo Novo dos Parecis - MT para um vôo sobre uma área de lavoura dentro daquela fazenda. Ao realizar uma manobra de retorno (balão) a baixa altura, a aeronave perdeu altitude e colidiu violentamente com o solo dentro dos limites da Fazenda Rincão. A aeronave sofreu danos graves e o piloto faleceu em conseqüência do acidente."
